Faculty Member,Department,Role
John Nicols,Classics, professor 
C. Bennett Pascal,Classics, professor emeritus 
Martha J. Bayless,Classics, English 
Karen R. Emmerich,Comparative Literature," assistant professor (translation studies, modern Greek literature, textual scholarship) "
Lisa Freinkel,Comparative Literature, associate professor 
Warren Ginsberg,Comparative Literature, professor 
Katya E. Hokanson,Comparative Literature," associate professor (Russian literature, travel literature, cultural studies) "
Dawn Marlan,Comparative Literature," lecturer (history of the novel, gender studies, cinema) "
Leah Middlebrook,Comparative Literature," associate professor (16th-century Spanish and French lyric, court culture, theories of the subject) "
Barbara K. Altmann,Comparative Literature, Romance languages 
Susan C. Anderson,Comparative Literature, German and Scandinavian 
Monique Balbuena,Comparative Literature, honors college 
Joyce Cheng,Comparative Literature, history of art and architecture 
Suzanne Clark,Comparative Literature, English 
James R. Crosswhite,Comparative Literature, English 
Dianne M. Dugaw,Comparative Literature, English 
Cecilia Enjuto Rangel,Comparative Literature, Romance languages 
Pedro García-Caro,Comparative Literature, Romance languages 
Evlyn Gould,Comparative Literature, Romance languages 
D. Gantt Gurley,Comparative Literature, German and Scandinavian 
Michael Hames-García,Comparative Literature, ethnic studies 
Kathleen Rowe Karlyn,Comparative Literature, English 
Linda Kintz,Comparative Literature, English 
Martin Klebes,Comparative Literature, German and Scandinavian 
Jeffrey S. Librett,Comparative Literature, German and Scandinavian 
Massimo Lollini,Comparative Literature, Romance languages 
Katharina Loew,Comparative Literature, German and Scandinavian 
John McCole,Comparative Literature, history 
Randall E. McGowen,Comparative Literature, history 
Fabienne Moore,Comparative Literature, Romance languages 
Dorothee Ostmeier,Comparative Literature, German and Scandinavian 
Paul W. Peppis,Comparative Literature, English 
Amanda W. Powell,Comparative Literature, Romance languages 
F. Regina Psaki,Comparative Literature, Romance languages 
Forest Pyle,Comparative Literature, English 
Judith Raiskin,Comparative Literature, women’s and gender studies 
Daniel Rosenberg,Comparative Literature, honors college 
George Rowe,Comparative Literature, English 
John Schmor,Comparative Literature, theater arts 
Michael Stern,Comparative Literature, German and Scandinavian 
Analisa Taylor,Comparative Literature, Romance languages 
Ted Toadvine,Comparative Literature, philosophy 
Alejandro Vallega,Comparative Literature, philosophy 
David J. Vazquez,Comparative Literature, English 
Elizabeth A. Wheeler,Comparative Literature, English 
Daniel N. Wojcik,Comparative Literature, English 
Rocio Zambrana,Comparative Literature, philosophy 
Daniel Anderson,Creative Writing, associate professor (poetry) 
Jason Brown,Creative Writing, associate professor (fiction) 
Geri Doran,Creative Writing, associate professor (poetry) 
Ehud Havazelet,Creative Writing, professor (fiction) 
Garrett K. Hongo,Creative Writing, professor (poetry) 
Richard M. Lyons,Creative Writing, professor emeritus 
Denise Gigliotti,East Asian Languages and Literatures, senior instructor (Chinese language) 
Reiko Hashimoto,East Asian Languages and Literatures, senior instructor (Japanese language) 
Rika Ikei,East Asian Languages and Literatures, senior instructor (Japanese language) 
Zhuo Jing-Schmidt,East Asian Languages and Literatures, associate professor (Chinese linguistics) 
Naoko Nakadate,East Asian Languages and Literatures, senior instructor (Japanese language) 
Glynne Walley,East Asian Languages and Literatures, assistant professor (early modern Japanese literature) 
Jean Yuanpeng Wu,East Asian Languages and Literatures, senior instructor (Chinese language) 
Bruce A. Blonigen,Economics, Philip H 
Alfredo Burlando,Economics," assistant professor (development, labor economics, industrial organization) "
Trudy Ann Cameron,Economics, Raymond F 
Shankha Chakraborty,Economics," professor (growth and development, macroeconomics) "
Anca D. Cristea,Economics," assistant professor (international economics, industrial organization, applied econometrics) "
Timothy A. Duy,Economics," assistant professor with title of professor of practice (macroeconomics, monetary policy, international finance) "
Christopher J. Ellis,Economics," professor (applied economic theory, public economics, political economy) "
George W. Evans,Economics, John B 
Benjamin Hansen,Economics," assistant professor (labor economics, public economics, econometrics) "
William T. Harbaugh,Economics," professor (public economics, behavioral economics, neuroeconomics) "
Van Kolpin,Economics," professor (microeconomic theory, game theory, social choice theory) "
Peter J. Lambert,Economics," professor (public economics, income equality, tax and benefit systems) "
Ralph Mastromonaco,Economics," assistant professor (environmental, public, industrial organization) "
Jeremy M. Piger,Economics," professor (macroeconomics, econometrics) "
Nicholas Sly,Economics," assistant professor (international trade, labor economics, applied microeconomics) "
Anne van den Nouweland,Economics," professor (game theory, microeconomic theory) "
Glen R. Waddell,Economics," professor (applied econometrics, industrial organization, labor economics) "
Caroline E. Weber,Economics," assistant professor (applied microeconometrics, public finance) "
Wesley W. Wilson,Economics," professor (applied econometrics, industrial organization, transportation economics) "
Cathleen S. Leué,Economics," associate professor (econometrics, labor); director, Social Science Instructional Laboratory; director, Social Science Data Services Laboratory "
Robert Campbell,Economics, professor emeritus 
Henry N. Goldstein,Economics, professor emeritus 
Jo Anna Gray,Economics, professor emerita 
Stephen E. Haynes,Economics, professor emeritus 
Chulsoon Khang,Economics, professor emeritus 
Joe A. Stone,Economics, professor emeritus 
W. Ed Whitelaw,Economics, professor emeritus 
Carolyn Bergquist,English," senior instructor (Renaissance literature; rhetoric and composition); director, Composition Program "
Elizabeth A. Bohls,English, associate professor (18th-century literature) 
Tina Boscha,English, senior instructor (composition) 
Lara Bovilsky,English," associate professor (Renaissance literature and culture; graduate professionalism); director, graduate studies "
Kirby Brown,English, assistant professor (Native and ethnic American literatures) 
Stephanie Clark,English, assistant professor (medieval literature) 
Michael Copperman,English, senior instructor (composition) 
Karen J. Ford,English," professor (poetry and poetics, modern poetry, American literature) "
John T. Gage,English," professor (rhetoric, writing, modern poetry) "
Miriam Gershow,English," senior instructor (composition); associate director, composition "
Kathleen Horton,English," senior instructor (Renaissance, composition) "
Heidi N. Kaufman,English, assistant professor (19th-century British literature) 
C. Anne Laskaya,English," associate professor (medieval literature, women writers, rhetoric) "
Stephanie LeMenager,English, Barbara K 
Quinn Miller,English, assistant professor (film and media studies) 
Kathleen O’Fallon,English," senior instructor (Victorian literature, early 20th-century literature, film) "
Mark Quigley,English," associate professor (Irish literature, 20th-century literature) "
William Rossi,English, professor (19th-century American literature); director of undergraduate studies 
Benjamin D. Saunders,English," professor (Renaissance literature, comics studies) "
Courtney Thorsson,English," assistant professor (African American literature, 19th- and 20th-century American literature, food studies) "
Corbett Upton,English," instructor (Central American poetry); associate director, undergraduate studies "
Mark Whalan,English, Robert D 
John C. Witte,English, senior instructor (poetry) 
Henry B. Wonham,English, professor (19th- and 20th-century American literature) 
Mary E. Wood,English," professor (19th-century American literature, gender studies) "
James L. Boren,English, professor emeritus 
Edwin L. Coleman II,English, professor emeritus 
James W. Earl,English, professor emeritus 
Marilyn Farwell,English, professor emerita 
Thelma Greenfield,English, professor emerita 
Robert Grudin,English, professor emeritus 
Joseph A. Hynes Jr.,English, professor emeritus 
Ruth F. Jackson,English, senior instructor emerita 
Gloria E. Johnson,English, professor emerita 
Glen A. Love,English, professor emeritus 
William Rockett,English, associate professor emeritus 
Ralph J. Salisbury,English, professor emeritus 
Richard L. Stein,English, professor emeritus 
Richard C. Stevenson,English, professor emeritus 
Nathaniel Teich,English, professor emeritus 
Louise Westling,English, professor emerita 
George Wickes,English, professor emeritus 
Louise M. Bishop,English, honors college 
David A. Frank,English, honors college 
Lee Rumbarger,English, Teaching and Learning Center 
Charise L. Cheney,Ethnic Studies, associate professor (African American popular and political cultures; Black nationalist ideologies and practices; gender and sexuality) 
Lynn H. Fujiwara,Ethnic Studies," associate professor (women of color; feminisms; labor, family, citizenship, immigration, and welfare) "
Daniel HoSang,Ethnic Studies," associate professor (racial politics, post-1865 U "
Ernesto J. Martínez,Ethnic Studies," assistant professor (comparative ethnic literature, U "
Irmary Reyes-Santos,Ethnic Studies," assistant professor (transnational Caribbean ethnic studies, cultural studies, globalization) "
Edward Olivos,Ethnic Studies, education studies 
Jeffrey Ostler,Ethnic Studies, history 
Gerardo Sandoval,Ethnic Studies," planning, public policy and management "
Melissa N. Stuckey,Ethnic Studies, history 
Jessica M. Vasquez,Ethnic Studies, sociology 
Gina Herrmann,European Studies, Romance languages 
Nathalie Hester,European Studies, Romance languages 
Scott R. Maier,European Studies, journalism and communication 
Ian F. McNeely,European Studies, history 
Alexander B. Murphy,European Studies, geography 
Craig Parsons,European Studies, political science (chair) 
George J. Sheridan Jr.,European Studies, history 
Priscilla Southwell,European Studies, political science 
Doug Blandy,Folklore," professor (art and community service, art and special populations) "
"Juan Eduardo ""Ed"" Wolf",Folklore, assistant professor (ethnomusicology) 
Roger Adkins,Folklore, Study Abroad Programs 
Matthew Dennis,Folklore, history 
James D. Fox,Folklore, library 
Lori Hager,Folklore, arts and administration 
Kingston Heath,Folklore, historic preservation 
Kenneth I. Helphand,Folklore, landscape architecture 
Julianne H. Newton,Folklore, journalism and communication 
Rachelle Saltzman,Folklore, Oregon Folklife Network 
Alexander Mathas,German and Scandinavian," professor (18th- to 20th-century German literature, literary theory, cultural theory) "
Matthias Vogel,German and Scandinavian," senior instructor (second-language acquisition); language coordinator, German language programs; coordinator, German Global Scholars "
Peter B. Gontrum,German and Scandinavian, professor emeritus 
Walther L. Hahn,German and Scandinavian, professor emeritus 
James R. McWilliams,German and Scandinavian, associate professor emeritus 
Helmut R. Plant,German and Scandinavian, associate professor emeritus 
Karla L. Schultz,German and Scandinavian, professor emerita 
Ingrid A. Weatherhead,German and Scandinavian, senior instructor emerita 
Virpi Zuck,German and Scandinavian, professor emerita 
Marilyn Linton,German and Scandinavian, undergraduate studies 
Judith Baskin,German Studies, Judaic studies 
Jack Boss,German Studies, music 
Joseph Fracchia,German Studies, honors college 
Gantt Gurley,German Studies, German and Scandinavian 
Kenneth Helphand,German Studies, landscape architecture 
Julie Hessler,German Studies, history 
Lori Kruckenberg,German Studies, music 
Jeffrey Librett,German Studies, German and Scandinavian 
David M. Luebke,German Studies, history 
Albert Narath,German Studies, history of art and architecture 
Sherwin Simmons,German Studies, art history 
Marian Smith,German Studies, music 
Bruce Harwood Tabb,German Studies, UO Libraries 
Daniela Vallega-Neu,German Studies, philosophy 
Peter Warnek,German Studies, philosophy 
Carlos Aguirre,History, professor (Latin America) 
Nathanael Andrade,History, assistant professor (ancient Greece and Rome) 
Sean Anthony,History, assistant professor (Islam) 
Alexander Dracobly,History," senior instructor (modern Europe, military, medical) "
Robert S. Haskett,History, professor (Latin America) 
April Haynes,History, assistant professor (women and gender) 
Ellen Herman,History, professor (modern United States) 
R. Alan Kimball,History, associate professor (modern Russia) 
Glenn A. May,History," professor (Southeast Asia, American foreign relations) "
James C. Mohr,History, College of Arts and Sciences Distinguished Professor; Philip H 
Arafaat Valiani,History, associate professor (South Asia) 
Marsha Weisiger,History, Rocky and Julie Dixon Chair of U 
Julie Weise,History," assistant professor (20th-century United States, modern Mexico, global migration) "
Lisa Wolverton,History, professor (medieval Europe) 
Reuben Zahler,History, assistant professor (Latin America) 
Raymond Birn,History, professor emeritus 
Richard Maxwell Brown,History, Carrie C 
Leslie Decker,History, professor emeritus 
Paul S. Holbo,History," professor emeritus; vice provost emeritus, academic affairs "
Jack P. Maddex,History, professor emeritus 
Mavis Howe Mate,History, professor emerita 
Daniel A. Pope,History, professor emeritus 
Louise Carroll Wade,History, professor emerita 
Judith R. Baskin,History, Judaic studies 
Robert Bussel,History, Labor Education and Research Center 
Mark Carey,History, honors college 
Ocean Howell,History, honors college 
Vera Keller,History, honors college 
Elizabeth Reis,History, women’s and gender studies 
Li-Shan Chou,Human Physiology, professor 
Anita Christie,Human Physiology, assistant professor 
Sierra Dawson,Human Physiology, senior instructor 
Hans Dreyer,Human Physiology, assistant professor 
Jeffrey Gilbert,Human Physiology, assistant professor 
Grace Golden,Human Physiology, instructor 
Michael Hahn,Human Physiology, assistant professor 
John Halliwill,Human Physiology, professor 
Andrew Karduna,Human Physiology, professor 
Andrew Lovering,Human Physiology, associate professor 
Christopher T. Minson,Human Physiology, professor 
Jon Runyeon,Human Physiology, instructor 
John Brandon,Human Physiology, courtesy research assistant 
Richard L. Brown,Human Physiology, courtesy assistant professor 
Chien-Chi Chang,Human Physiology, courtesy reserach associate 
Mark S. Chesnutt,Human Physiology, courtesy research associate 
Michael Colasurdo,Human Physiology, courtesy professor 
Dennis Collis,Human Physiology, courtesy professor 
Mathews Fish,Human Physiology, courtesy professor 
Daniel Fitzpatrick,Human Physiology, courtesy associate professor 
Igor Gladstone,Human Physiology, courtesy professor 
Randall Goodman,Human Physiology, courtesy research assistant 
Sarah Grall,Human Physiology, courtesy instructor 
Aaron Harding,Human Physiology, courtesy instructor 
Jerold Hawn,Human Physiology, courtesy professor 
Stanley L. James,Human Physiology, courtesy professor 
Brian Jewett,Human Physiology, courtesy associate professor 
Donald C. Jones,Human Physiology, courtesy professor 
Paul Kaplan,Human Physiology, courtesy research associate; university physician 
Vern Katz,Human Physiology, courtesy professor 
Peter Kosek,Human Physiology, courtesy professor 
Brett (Brick) Lantz,Human Physiology, courtesy professor 
Samuel Lau,Human Physiology, courtesy professor 
Victor Lin,Human Physiology, courtesy associate professor 
John Melton,Human Physiology, courtesy senior research associate 
Brian Nichols,Human Physiology, courtesy instructor 
Richard Padgett,Human Physiology, courtesy professor 
Rick Robertson,Human Physiology, courtesy research associate 
Anne Shumway-Cook,Human Physiology, courtesy senior research associate 
Kenneth M. Singer,Human Physiology, courtesy professor; team physician 
Kimberly Terrell,Human Physiology, courtesy instructor 
Louis R. Osternig,Human Physiology, professor emeritus 
Richard K. Troxel,Human Physiology, senior instructor emeritus 
Marjorie Woollacott,Human Physiology, professor emerita 
Derrick Hindery,International Studies," associate professor (environment and development, global economic restructuring, indigenous movements) "
Kristin Yarris,International Studies," assistant professor (global health, social and cultural determinations) "
Gerald W. Fry,International Studies, professor emeritus 
Erin Beck,International Studies, political science 
Elisabeth Chan,International Studies, landscape architecture 
Shaul E. Cohen,International Studies, geography 
Frederick Colby,International Studies, religious studies 
Jane K. Cramer,International Studies, political science 
Robert L. Davis,International Studies, Romance languages 
John B. Foster,International Studies, sociology 
Michael Hibbard,International Studies," planning, public policy and management "
David Hollenberg,International Studies, religious studies 
Craig Kauffman,International Studies, political science 
Nicolas Larco,International Studies, architecture 
Jeffrey Magoto,International Studies, Yamada Language Center 
Katharine Meehan,International Studies, geography 
Ronald B. Mitchell,International Studies, political science 
Lise Nelson,International Studies, geography 
Kevin Nute,International Studies, architecture 
Eileen M. Otis,International Studies, sociology 
Eric W. Pederson,International Studies, linguistics 
Lars Skalnes,International Studies, political science 
Alison B. Snyder,International Studies, architecture 
H. Leslie Steeves,International Studies, journalism and communication 
Surendra Subramani,International Studies, counseling psychology and human services 
Federica Francesconi,Judaic Studies, visiting assistant professor 
Deborah A. Green,Judaic Studies, Greenberg Associate Professor of Hebrew Language and Literature 
Judith R. Baskin (ex officio),Judaic Studies, Judaic studies 
Daniel K. Falk,Judaic Studies, religious studies 
Deborah A. Green (chair),Judaic Studies, Judaic studies 
David Wacks,Judaic Studies, Romance languages 
Marion Sherman Goldman,Judaic Studies, sociology 
Naomi Zack,Judaic Studies, philosophy 
Michael B. Aguilera,Latin American Studies, sociology 
Juan A. Epple,Latin American Studies, Romance languages 
Linda O. Fuller,Latin American Studies, women’s and gender studies 
Leonardo García-Pabón,Latin American Studies, Romance languages 
Spike Gildea,Latin American Studies, linguistics 
Amalia Gladhart,Latin American Studies, Romance languages 
James Harper,Latin American Studies, history of art and architecture 
Kathryn A. Lynch,Latin American Studies, environmental studies 
Michelle McKinley,Latin American Studies, law 
Peter B. Wetherwax,Latin American Studies, biology 
B. Mokaya Bosire,Linguistics, instructor (Swahili) 
Vsevolod M. Kapatsinski,Linguistics," assistant professor (psycholinguistics, corpus linguistics, experimental morphology and phonology, language learning in the lab) "
Tyler S. Kendall,Linguistics," assistant professor (sociolinguistics, corpus linguistics, phonetics, language and law) "
Anna Mikhaylova,Linguistics," assistant professor (second-language acquisition, heritage language acquisition and maintenance, bilingualism, sociolinguistics) "
Melissa Redford,Linguistics," associate professor (phonetics, laboratory phonology, psycholinguistics, cognitive science) "
Cynthia M. Vakareliyska,Linguistics, professor (Slavic linguistics) 
T. Givón,Linguistics, professor emeritus 
Russell S. Tomlin,Linguistics, professor emeritus 
Gregory D. Anderson,Linguistics, linguistics 
Dare A. Baldwin,Linguistics, psychology 
Marjorie S. Barker,Linguistics, linguistics 
Carl Falsgraf,Linguistics, Center for Applied Second-Language Studies 
Mark Johnson,Linguistics, philosophy 
Sarah Klinghammer,Linguistics, linguistics 
Helen Neville,Linguistics, psychology 
Thomas E. Payne,Linguistics, linguistics 
Agnieszka Alboszta,Linguistics," instructor (critical thinking, distance education) "
Pat Bryan,Linguistics," senior instructor (cross-cultural communication, academic advising, experiential learning) "
Jill Cargile,Linguistics," instructor (program administration, academic writing, English for specific purposes) "
Peggy Dame,Linguistics," senior instructor; coordinator, special programs "
Thomas Delaney,Linguistics," instructor (Teaching English to speakers of other languages, testing and assessment, differences in language learning); instructional coordinator "
Robert K. Elliott,Linguistics," instructor, (pronunciation and intonation, international GTF training, distance education) "
Nicole M. Eustice,Linguistics," instructor (English as a second language curriculum design, critical thinking, theoretical and applied phonology) "
Alison Evans,Linguistics, senior instructor (academic English for international students) 
Bruce Evans,Linguistics," instructor (second-language acquisition, learning and cognitive theory, content-based instruction) "
Alicia R. Going,Linguistics, instructor 
Deborah Healey,Linguistics," instructor (computer-assisted language learning, teacher education, English language teaching) "
Char Heitman,Linguistics," senior instructor (teacher training, cross-cultural communication, oral skills and fluency) "
Deanna Hochstein,Linguistics," senior instructor (intercultural communication, academic writing, critical thinking) "
Laura G. Holland,Linguistics," instructor (intensive English-language teaching, teacher training, online distance education) "
Cynthia L. Kieffer,Linguistics," senior instructor (teacher training, curriculum review, distance education) "
Sydney Kinnaman,Linguistics," senior instructor (developmental reading, Test of English as a Foreign Language preparation, academic English); coordinator, tutor program "
Marvin LeNoue,Linguistics," instructor (academic writing, technology-enhanced curriculum design and delivery, training program design) "
Leslie Opp-Beckman,Linguistics," senior instructor; coordinator, distance education "
Patricia Pashby,Linguistics," senior instructor (second-language teaching, teacher training, vocabulary acquisition); coordinator, international graduate teaching fellow program "
Cathryn Phelps,Linguistics, instructor (English for specific purposes: business; English for academic purposes: writing) 
Lara M. Ravitch,Linguistics," instructor (curriculum design, assessment, content-based instruction) "
Jennifer Rice,Linguistics," instructor (English as a second language oral-aural skills, curriculum and materials design, objectives-based course assessment) "
Korey Rice,Linguistics," instructor (discussion skills assessment, curriculum development) "
Robin Rogers,Linguistics," instructor (curriculum development, materials writing, assessment procedures) "
Janine Sepulveda,Linguistics," instructor (reading, writing, grammar) "
Donna Shaw,Linguistics," instructor (academic reading and writing, curriculum design, distance education) "
Thomas Tasker,Linguistics," instructor (academic reading and writing, curriculum development) "
Bonny Tibbitts,Linguistics," instructor (language learning and critical thinking, vocabulary acquisition, academic reading) "
Kay Westerfield,Linguistics," senior instructor (English for specific purposes, international business communication, cross-cultural communication); codirector, International Business Communication Program; coordinator, business English programs "
Keli D. Yerian,Linguistics," instructor (discourse analysis, cross-cultural communication, teacher training); director, language teaching specialization "
Belinda Young-Davy,Linguistics, instructor 
Nicola Camerlenghi,Medieval Studies, history of art and architecture 
Mary Jaeger,Medieval Studies, classics 
Eric Mentzel,Medieval Studies, music 
Stephen J. Shoemaker,Medieval Studies, religious studies 
Richard A. Sundt,Medieval Studies, history of art and architecture 
Shirley Ann Coale,Pacific Island Studies, Western Regional Resource Center 
Richard G. Hildreth,Pacific Island Studies, law 
Stephen M. Johnson,Pacific Island Studies, Labor Education and Research Center 
Richard W. Zeller,Pacific Island Studies, Western Regional Resource Center 
Gregory McLauchlan,Peace Studies, sociology 
Mark Alfano,Philosophy," assistant professor (ethics, Nietzsche, experimental philosophy) "
Steven Brence,Philosophy," instructor (social and political philosophy, philosophy of film, ethics) "
Colin Koopman,Philosophy," associate professor (political philosophy, pragmatism, geneology) "
Bonnie Mann,Philosophy," associate professor (feminist, Continental) "
Scott L. Pratt,Philosophy," professor (American philosophy, history of philosophy, education) "
Beata Stawarska,Philosophy," associate professor (phenomenology, Continental, philosophical psychology) "
William E. Davie,Philosophy, associate professor emeritus 
Don S. Levi,Philosophy, professor emeritus 
Arnulf Zweig,Philosophy, professor emeritus 
Deborah Baumgold,Political Science, professor (history of political thought) 
Gerald Berk,Political Science," professor (American politics, political development, political economy) "
Anita Chari,Political Science, assistant professor (political theory) 
Alison Gash,Political Science, assistant professor (public law) 
Burke Hendrix,Political Science," assistant professor (normative political theory, indigenous politics, global justice) "
Joseph E. Lowndes,Political Science, associate professor (U 
Mikhail Myagkov,Political Science," professor (comparative politics, formal political theory) "
David Steinberg,Political Science, assistant professor (international relations) 
Daniel Tichenor,Political Science, Philip H 
Priscilla Yamin,Political Science, associate professor (U 
William H. Baugh,Political Science, associate professor emeritus 
Daniel Goldrich,Political Science, professor emeritus 
Arthur M. Hanhardt Jr.,Political Science, professor emeritus  
Richard Kraus,Political Science, professor emeritus 
Jerry F. Medler,Political Science, associate professor emeritus 
John M. Orbell,Political Science, professor emeritus 
Richard P. Suttmeier,Political Science, professor emeritus 
M. George Zaninovich,Political Science, professor emeritus 
Stuart Chinn,Political Science, law 
Gordon Lafer,Political Science, Labor Education and Research Center 
Hee-Jin Kim,Religious Studies, professor emeritus 
